Company Name,Date of Attack,Industry Subsector,Company Size,Annual Revenue,Number of Employees,Geographic Region,Attack Vector/Type of Breach,Financial Loss,Time to Patch/Contain (days)
Bybit,2/21/2025,Cryptocurrency Exchange,Large,"$2,500 million",1200,Asia-Pacific,Cold Wallet Exploitation,"$1,460,000,000",3
Phemex,2/15/2025,Cryptocurrency Exchange,Medium,$350 million,420,Asia-Pacific,API Key Compromise,"$69,100,000",2
Infini Protocol,2/10/2025,DeFi Platform,Small,$45 million,28,Global,Smart Contract Vulnerability,"$50,000,000",4
zkLend,2/12/2025,DeFi Lending Platform,Small,$30 million,25,Europe,Smart Contract Exploit,"$9,500,000",5
Finastra,2/5/2025,Financial Technology,Large,"$2,100 million",10000,North America,Data Breach (SFTP),"$18,500,000",9
Insight Partners,1/25/2025,Venture Capital,Large,"$3,500 million",1150,North America,Social Engineering,"$22,300,000",18
Zacks Investment,1/18/2025,Investment Research,Medium,$380 million,1600,North America,Data Breach,"$15,700,000",27
IMI Financial,1/10/2025,Financial Services,Medium,$875 million,3200,Europe,Ransomware,"$8,200,000",14
CarMoney,12/15/2024,Loan Provider,Medium,$450 million,920,Europe,Targeted Hack,"$11,400,000",10
BlockFi,12/8/2024,Cryptocurrency Lending,Medium,$580 million,850,North America,Web3 Wallet Exploit,"$45,000,000",3
Sault Tribe Federal Credit Union,11/30/2024,Credit Union,Small,$75 million,110,North America,Ransomware,"$5,000,000",21
Abracadabra Money,11/25/2024,DeFi Platform,Small,$65 million,35,Global,Flash Loan Attack,"$13,000,000",1
Ionic DeFi,11/20/2024,DeFi Platform,Small,$45 million,24,Global,Protocol Exploit,"$8,500,000",2
AlphaFinance Group,11/10/2024,Asset Management,Medium,$780 million,425,Europe,Phishing,"$7,200,000",5
First Western Bank,10/28/2024,Banking,Medium,$890 million,1750,North America,Ransomware,"$6,800,000",18
Zoth Protocol,10/21/2024,DeFi Platform,Small,$28 million,18,Global,Smart Contract Vulnerability,"$8,400,000",1
Golden Trust Insurance,10/15/2024,Insurance,Medium,$650 million,2100,Europe,Ransomware,"$12,500,000",23
Finex Capital,10/8/2024,Investment Firm,Medium,$420 million,380,Europe,Business Email Compromise,"$9,300,000",7
RapidPay,10/1/2024,Payment Processor,Medium,$560 million,820,North America,API Vulnerability,"$17,800,000",4
